date,total_orders
2008-01-18,237.0
2008-01-19,171.0
2008-01-20,191.0
2008-01-21,101.0
2008-01-22,154.0
2008-01-23,157.0
2008-01-24,124.0
2008-01-25,174.0
2008-01-26,128.0
2008-01-27,182.0
2008-01-28,64.0
2008-01-29,95.0
2008-01-30,83.0
2008-01-31,130.0
2008-02-01,156.0
2008-02-02,170.0
2008-02-03,251.0
2008-02-04,80.0
2008-02-05,60.0
2008-02-06,66.0
2008-02-07,76.0
2008-02-08,92.0
2008-02-09,78.0
2008-02-10,215.0
2008-02-11,58.0
2008-02-12,111.0
2008-02-13,100.0
2008-02-14,89.0
2008-02-15,124.0
2008-02-16,74.0
2008-02-17,139.0
2008-02-18,47.0
2008-02-19,102.0
2008-02-20,69.0
2008-02-21,151.0
2008-02-22,203.0
2008-02-23,214.0
2008-02-24,275.0
2008-02-25,54.0
2008-02-26,60.0
2008-02-27,63.0
2008-02-28,85.0
2008-02-29,201.0
2008-03-01,161.0
2008-03-02,185.0
2008-03-03,92.0
2008-03-04,52.0
2008-03-05,49.0
2008-03-06,97.0
2008-03-07,86.0
2008-03-08,80.0
2008-03-09,273.0
2008-03-10,99.0
2008-03-11,57.0
2008-03-12,71.0
2008-03-13,130.0
2008-03-14,69.0
2008-03-15,102.0
2008-03-16,168.0
2008-03-17,60.0
2008-03-18,176.0
2008-03-19,127.0
2008-03-20,160.0
2008-03-21,136.0
2008-03-22,53.0
2008-03-23,144.0
2008-03-24,293.0
2008-03-25,121.0
2008-03-26,107.0
2008-03-27,169.0
2008-03-28,128.0
2008-03-29,141.0
2008-03-30,224.0
2008-03-31,45.0
2008-04-01,72.0
2008-04-02,118.0
2008-04-03,89.0
2008-04-04,105.0
2008-04-05,76.0
2008-04-06,127.0
2008-04-07,41.0
2008-04-08,71.0
2008-04-09,59.0
2008-04-10,37.0
2008-04-11,104.0
2008-04-12,53.0
2008-04-13,79.0
2008-04-14,72.0
2008-04-15,53.0
2008-04-16,49.0
2008-04-17,20.0
2008-04-18,93.0
2008-04-19,65.0
2008-04-20,170.0
2008-04-21,83.0
2008-04-22,73.0
2008-04-23,112.0
2008-04-24,46.0
2008-04-25,143.0
2008-04-26,77.0
2008-04-27,208.0
2008-04-28,19.0
2008-04-29,138.0
2008-04-30,125.0
2008-05-01,156.0
2008-05-02,56.0
2008-05-03,27.0
2008-05-04,103.0
2008-05-05,31.0
2008-05-06,80.0
2008-05-07,45.0
2008-05-08,88.0
2008-05-09,48.0
2008-05-10,16.0
2008-05-11,82.0
2008-05-12,134.0
2008-05-13,20.0
2008-05-14,104.0
2008-05-15,111.0
2008-05-16,61.0
2008-05-17,13.0
2008-05-18,109.0
2008-05-19,12.0
2008-05-20,37.0
2008-05-21,63.0
2008-05-22,105.0
2008-05-23,79.0
2008-05-24,47.0
2008-05-25,228.0
2008-05-26,44.0
2008-05-27,52.0
2008-05-28,32.0
2008-05-29,61.0
2008-05-30,95.0
2008-05-31,88.0
2008-06-01,114.0
2008-06-02,114.0
2008-06-03,46.0
2008-06-04,37.0
2008-06-05,100.0
2008-06-06,108.0
2008-06-07,66.0
2008-06-08,138.0
2008-06-09,35.0
2008-06-10,36.0
2008-06-11,97.0
2008-06-12,53.0
2008-06-13,128.0
2008-06-14,86.0
2008-06-15,111.0
2008-06-16,38.0
2008-06-17,41.0
2008-06-18,72.0
2008-06-19,62.0
2008-06-20,62.0
2008-06-21,91.0
2008-06-22,136.0
2008-06-23,42.0
2008-06-24,62.0
2008-06-25,62.0
2008-06-26,44.0
2008-06-27,84.0
2008-06-28,146.0
2008-06-29,152.0
2008-06-30,30.0
2008-07-01,39.0
2008-07-02,67.0
2008-07-03,85.0
2008-07-04,61.0
2008-07-05,118.0
2008-07-06,110.0
2008-07-07,114.0
2008-07-08,53.0
2008-07-09,91.0
2008-07-10,90.0
2008-07-11,45.0
2008-07-12,63.0
2008-07-13,89.0
2008-07-14,45.0
2008-07-15,95.0
2008-07-16,39.0
2008-07-17,70.0
2008-07-18,60.0
2008-07-19,115.0
2008-07-20,110.0
2008-07-21,98.0
2008-07-22,79.0
2008-07-23,67.0
2008-07-24,106.0
2008-07-25,48.0
2008-07-26,160.0
2008-07-27,96.0
2008-07-28,47.0
2008-07-29,88.0
2008-07-30,87.0
2008-07-31,104.0
2008-08-01,91.0
2008-08-02,96.0
2008-08-03,142.0
2008-08-04,131.0
2008-08-05,79.0
2008-08-06,128.0
2008-08-07,145.0
2008-08-08,69.0
2008-08-09,171.0
2008-08-10,207.0
2008-08-11,60.0
2008-08-12,54.0
2008-08-13,119.0
2008-08-14,104.0
2008-08-15,79.0
2008-08-16,87.0
2008-08-17,182.0
2008-08-18,84.0
2008-08-19,122.0
2008-08-20,148.0
2008-08-21,92.0
2008-08-22,98.0
2008-08-23,63.0
2008-08-24,177.0
2008-08-25,110.0
2008-08-26,75.0
2008-08-27,117.0
2008-08-28,163.0
2008-08-29,206.0
2008-08-30,100.0
2008-08-31,244.0
2008-09-01,146.0
2008-09-02,87.0
2008-09-03,109.0
2008-09-04,106.0
2008-09-05,227.0
2008-09-06,152.0
2008-09-07,304.0
2008-09-08,86.0
2008-09-09,52.0
2008-09-10,62.0
2008-09-11,94.0
2008-09-12,155.0
2008-09-13,114.0
2008-09-14,300.0
2008-09-15,42.0
2008-09-16,93.0
2008-09-17,71.0
2008-09-18,144.0
2008-09-19,42.0
2008-09-20,61.0
2008-09-21,208.0
2008-09-22,130.0
2008-09-23,119.0
2008-09-24,149.0
2008-09-25,75.0
2008-09-26,130.0
2008-09-27,190.0
2008-09-28,282.0
2008-09-29,200.0
2008-09-30,132.0
2008-10-01,152.0
2008-10-02,181.0
2008-10-03,129.0
2008-10-04,128.0
2008-10-05,342.0
2008-10-06,211.0
2008-10-07,139.0
2008-10-08,142.0
2008-10-09,86.0
2008-10-10,113.0
2008-10-11,106.0
2008-10-12,216.0
2008-10-13,193.0
2008-10-14,158.0
2008-10-15,155.0
2008-10-16,171.0
2008-10-17,100.0
2008-10-18,59.0
2008-10-19,253.0
2008-10-21,152.0
2008-10-22,131.0
2008-10-23,204.0
2008-10-24,152.0
2008-10-25,168.0
2008-10-26,344.0
2008-10-27,327.0
2008-10-28,209.0
2008-10-29,145.0
2008-10-30,128.0
2008-10-31,175.0
2008-11-01,234.0
2008-11-02,245.0
2008-11-03,165.0
2008-11-04,57.0
2008-11-05,137.0
2008-11-06,144.0
2008-11-07,103.0
2008-11-08,126.0
2008-11-09,244.0
2008-11-10,213.0
2008-11-11,77.0
2008-11-12,144.0
2008-11-13,121.0
2008-11-14,179.0
2008-11-15,111.0
2008-11-16,336.0
2008-11-17,236.0
2008-11-18,86.0
2008-11-19,157.0
2008-11-20,176.0
2008-11-21,160.0
2008-11-22,195.0
2008-11-23,438.0
2008-11-24,211.0
2008-11-25,173.0
2008-11-26,170.0
2008-11-27,112.0
2008-11-28,75.0
2008-11-29,128.0
2008-11-30,170.0
2008-12-01,157.0
2008-12-02,86.0
2008-12-03,115.0
2008-12-04,136.0
2008-12-05,84.0
2008-12-06,116.0
2008-12-07,296.0
2008-12-08,202.0
2008-12-09,45.0
2008-12-10,98.0
2008-12-11,121.0
2008-12-12,174.0
2008-12-13,150.0
2008-12-14,255.0
2008-12-15,142.0
2008-12-16,67.0
2008-12-17,112.0
2008-12-18,110.0
2008-12-19,118.0
2008-12-20,136.0
2008-12-21,187.0
2008-12-22,225.0
2008-12-23,150.0
2008-12-24,235.0
2008-12-25,39.0
2008-12-26,19.0
2008-12-27,89.0
2008-12-28,158.0
2008-12-29,113.0
2008-12-30,218.0
2008-12-31,172.0
2009-01-01,158.0
2009-01-02,175.0
2009-01-03,236.0
2009-01-04,163.0
2009-01-05,91.0
2009-01-06,132.0
2009-01-07,175.0
2009-01-08,62.0
2009-01-09,174.0
2009-01-10,152.0
2009-01-11,252.0
2009-01-12,241.0
2009-01-13,126.0
2009-01-14,98.0
2009-01-15,128.0
2009-01-16,121.0
2009-01-17,132.0
2009-01-18,229.0
2009-01-19,173.0
2009-01-20,68.0
2009-01-21,128.0
2009-01-22,150.0
2009-01-23,398.0
2009-01-24,216.0
2009-01-25,238.0
2009-01-26,185.0
2009-01-27,114.0
2009-01-28,169.0
2009-01-29,58.0
2009-01-30,117.0
2009-01-31,179.0
2009-02-01,239.0
2009-02-02,205.0
2009-02-03,173.0
2009-02-04,128.0
2009-02-05,107.0
2009-02-06,70.0
2009-02-07,140.0
2009-02-08,216.0
2009-02-09,299.0
2009-02-10,112.0
2009-02-11,152.0
2009-02-12,81.0
2009-02-13,158.0
2009-02-14,106.0
2009-02-15,232.0
2009-02-16,109.0
2009-02-17,107.0
2009-02-18,117.0
2009-02-19,61.0
2009-02-20,126.0
2009-02-21,108.0
2009-02-22,218.0
2009-02-23,149.0
2009-02-24,74.0
2009-02-25,120.0
2009-02-26,134.0
2009-02-27,138.0
2009-02-28,206.0
2009-03-01,274.0
2009-03-02,177.0
2009-03-03,18.0
2009-03-04,91.0
2009-03-05,104.0
2009-03-06,151.0
2009-03-07,93.0
2009-03-08,140.0
2009-03-09,157.0
2009-03-10,101.0
2009-03-11,47.0
2009-03-12,122.0
2009-03-13,75.0
2009-03-14,132.0
2009-03-15,200.0
2009-03-16,100.0
2009-03-17,140.0
2009-03-18,69.0
2009-03-19,65.0
2009-03-20,121.0
2009-03-21,93.0
2009-03-22,172.0
2009-03-23,143.0
2009-03-24,120.0
2009-03-25,153.0
2009-03-26,116.0
2009-03-27,82.0
2009-03-28,95.0
2009-03-29,215.0
2009-03-30,146.0
2009-03-31,116.0
2009-04-01,114.0
2009-04-02,160.0
2009-04-03,170.0
2009-04-04,132.0
2009-04-05,102.0
2009-04-06,172.0
2009-04-07,82.0
2009-04-08,182.0
2009-04-09,108.0
2009-04-10,40.0
2009-04-11,139.0
2009-04-12,126.0
2009-04-13,109.0
2009-04-14,173.0
2009-04-15,120.0
2009-04-16,111.0
2009-04-17,157.0
2009-04-18,148.0
2009-04-19,149.0
2009-04-20,118.0
2009-04-21,88.0
2009-04-22,81.0
2009-04-23,133.0
2009-04-24,104.0
2009-04-25,157.0
2009-04-26,251.0
2009-04-27,187.0
2009-04-28,109.0
2009-04-29,103.0
2009-04-30,271.0
2009-05-01,193.0
2009-05-02,130.0
2009-05-03,240.0
2009-05-04,191.0
2009-05-05,98.0
2009-05-06,125.0
2009-05-07,100.0
2009-05-08,195.0
2009-05-09,170.0
2009-05-10,148.0
2009-05-11,141.0
2009-05-12,45.0
2009-05-13,113.0
2009-05-14,107.0
2009-05-15,179.0
2009-05-16,161.0
2009-05-17,137.0
2009-05-18,214.0
2009-05-19,80.0
2009-05-20,116.0
2009-05-21,213.0
2009-05-22,158.0
2009-05-23,159.0
2009-05-24,164.0
2009-05-25,122.0
2009-05-26,282.0
2009-05-27,235.0
2009-05-28,152.0
2009-05-29,169.0
2009-05-30,108.0
2009-05-31,215.0
2009-06-01,333.0
2009-06-02,230.0
2009-06-03,123.0
2009-06-04,89.0
2009-06-05,101.0
2009-06-06,97.0
2009-06-07,248.0
2009-06-08,197.0
2009-06-09,163.0
2009-06-10,160.0
2009-06-11,149.0
2009-06-12,92.0
2009-06-13,151.0
2009-06-14,290.0
2009-06-15,310.0
2009-06-16,90.0
2009-06-17,140.0
2009-06-18,93.0
2009-06-19,139.0
2009-06-20,90.0
2009-06-21,164.0
2009-06-22,149.0
2009-06-23,136.0
2009-06-24,132.0
2009-06-25,115.0
2009-06-26,69.0
2009-06-27,154.0
2009-06-28,231.0
2009-06-29,137.0
2009-06-30,195.0
2009-07-01,177.0
2009-07-02,82.0
2009-07-03,170.0
2009-07-04,129.0
2009-07-05,223.0
2009-07-06,181.0
2009-07-07,117.0
2009-07-08,219.0
2009-07-09,125.0
2009-07-10,134.0
2009-07-11,81.0
2009-07-12,220.0
2009-07-13,180.0
2009-07-14,124.0
2009-07-15,122.0
2009-07-16,83.0
2009-07-17,156.0
2009-07-18,103.0
2009-07-19,184.0
2009-07-20,272.0
2009-07-21,186.0
2009-07-22,114.0
2009-07-23,163.0
2009-07-24,171.0
2009-07-25,188.0
2009-07-26,236.0
2009-07-27,178.0
2009-07-28,116.0
2009-07-29,102.0
2009-07-30,147.0
2009-07-31,148.0
2009-08-01,75.0
2009-08-02,157.0
2009-08-03,171.0
2009-08-04,96.0
2009-08-05,146.0
2009-08-06,123.0
2009-08-07,92.0
2009-08-08,104.0
2009-08-09,233.0
2009-08-10,178.0
2009-08-11,97.0
2009-08-12,150.0
2009-08-13,88.0
2009-08-14,171.0
2009-08-15,25.0
2009-08-16,184.0
2009-08-17,35.0
2009-08-18,31.0
2009-08-19,107.0
2009-08-20,130.0
2009-08-21,125.0
2009-08-22,136.0
2009-08-23,150.0
2009-08-24,111.0
2009-08-25,92.0
2009-08-26,108.0
2009-08-27,89.0
2009-08-28,156.0
2009-08-29,196.0
2009-08-30,254.0
2009-08-31,235.0
2009-09-01,135.0
2009-09-02,84.0
2009-09-03,177.0
2009-09-04,140.0
2009-09-05,89.0
2009-09-06,197.0
2009-09-07,183.0
2009-09-08,135.0
2009-09-09,133.0
2009-09-10,161.0
2009-09-11,114.0
2009-09-12,97.0
2009-09-13,181.0
2009-09-14,220.0
2009-09-15,93.0
2009-09-16,119.0
2009-09-17,55.0
2009-09-18,129.0
2009-09-19,98.0
2009-09-20,240.0
2009-09-21,152.0
2009-09-22,95.0
2009-09-23,148.0
2009-09-24,96.0
2009-09-25,128.0
2009-09-26,201.0
2009-09-27,199.0
2009-09-28,166.0
2009-09-29,146.0
2009-09-30,126.0
2009-10-01,113.0
2009-10-02,280.0
2009-10-03,118.0
2009-10-04,176.0
2009-10-05,211.0
2009-10-06,175.0
2009-10-07,198.0
2009-10-08,151.0
2009-10-09,92.0
2009-10-10,162.0
2009-10-11,231.0
2009-10-12,170.0
2009-10-13,177.0
2009-10-14,184.0
2009-10-15,113.0
2009-10-16,134.0
2009-10-17,84.0
2009-10-18,195.0
2009-10-19,217.0
2009-10-20,91.0
2009-10-21,94.0
2009-10-22,125.0
2009-10-23,139.0
2009-10-24,273.0
2009-10-25,261.0
2009-10-26,234.0
2009-10-27,249.0
2009-10-28,255.0
2009-10-29,201.0
2009-10-30,156.0
2009-10-31,193.0
2009-11-01,214.0
2009-11-02,229.0
2009-11-03,114.0
2009-11-04,272.0
2009-11-05,252.0
